epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22057,1.25109,2.97345,1.29832,0.00689,1,0.55633,0.48893,0.7946,2.93304,0.84486,0.00013336,0.00013336,0.00013336
2,11.3631,0.83102,1.63004,1.03913,0.9874,0.5,0.50235,0.50219,0.29745,2.41253,0.83341,0.000280584,0.000280584,0.000280584
3,16.4308,0.60373,1.11438,0.91558,0.99329,0.5,0.60377,0.51859,0.40054,2.38191,0.80183,0.000424838,0.000424838,0.000424838
4,21.266,0.64824,1.08574,0.92193,0.99581,0.5,0.55992,0.53659,0.31339,2.31268,0.76524,0.000566122,0.000566122,0.000566122
5,26.2966,0.5216,0.91377,0.86649,0.99623,0.5,0.81888,0.78674,0.46015,2.18962,0.81993,0.000704434,0.000704434,0.000704434
6,31.389,0.51924,0.83932,0.83864,0.99837,0.5,0.54853,0.53105,0.40431,2.05227,0.82339,0.000839776,0.000839776,0.000839776
7,36.4541,0.5087,0.81294,0.85841,0.97489,0.5,0.995,0.94151,0.34966,1.73965,0.79316,0.000972148,0.000972148,0.000972148
8,41.3489,0.47786,0.74565,0.84824,0.97636,0.5,0.995,0.995,0.26699,1.78229,0.76076,0.00110155,0.00110155,0.00110155
9,46.6772,0.43819,0.75524,0.83569,0.97523,0.5,0.995,0.92186,0.38039,1.5935,0.77687,0.00122798,0.00122798,0.00122798
10,51.9409,0.4504,0.72309,0.8388,0.96572,1,0.995,0.93203,0.36791,1.32078,0.76171,0.00135144,0.00135144,0.00135144
11,57.3733,0.38975,0.65981,0.80522,0.97193,1,0.995,0.9846,0.31306,1.04223,0.72987,0.00147193,0.00147193,0.00147193
12,63.0546,0.42393,0.70267,0.83254,0.96616,1,0.995,0.99251,0.2581,1.10241,0.72575,0.00148546,0.00148546,0.00148546
13,68.5042,0.47574,0.74437,0.86979,0.96516,1,0.995,0.995,0.18944,1.07519,0.71479,0.00146896,0.00146896,0.00146896
14,73.9099,0.40235,0.69549,0.85185,0.97915,1,0.995,0.995,0.22209,0.85096,0.72257,0.00145246,0.00145246,0.00145246
15,79.6096,0.40788,0.66294,0.84735,0.98861,1,0.995,0.90113,0.29694,0.67853,0.74767,0.00143595,0.00143595,0.00143595
16,85.448,0.41048,0.63337,0.84488,0.99294,1,0.995,0.90443,0.27183,0.59728,0.74244,0.00141945,0.00141945,0.00141945
17,91.5582,0.38003,0.63488,0.82552,0.99409,1,0.995,0.995,0.22972,0.5482,0.73818,0.00140295,0.00140295,0.00140295
18,97.5021,0.37886,0.64605,0.8238,0.99392,1,0.995,0.995,0.22822,0.50406,0.73586,0.00138644,0.00138644,0.00138644
19,103.582,0.34796,0.60537,0.80976,0.99569,1,0.995,0.995,0.28445,0.47808,0.75708,0.00136994,0.00136994,0.00136994
20,109.224,0.39914,0.62354,0.82367,0.99645,1,0.995,0.995,0.23613,0.48457,0.7541,0.00135344,0.00135344,0.00135344
21,115.048,0.38507,0.58213,0.82855,0.99638,1,0.995,0.99251,0.22712,0.44528,0.75448,0.00133693,0.00133693,0.00133693
22,120.936,0.37425,0.58506,0.82076,0.9953,1,0.995,0.995,0.21579,0.45519,0.74207,0.00132043,0.00132043,0.00132043
23,127.115,0.35507,0.57655,0.84127,0.99593,1,0.995,0.96644,0.24431,0.44711,0.74627,0.00130393,0.00130393,0.00130393
24,132.599,0.33765,0.55648,0.83343,0.9971,1,0.995,0.995,0.20214,0.43295,0.75523,0.00128742,0.00128742,0.00128742
25,138.275,0.30592,0.51504,0.82066,0.99698,1,0.995,0.995,0.22229,0.43286,0.76111,0.00127092,0.00127092,0.00127092
26,143.792,0.31208,0.51362,0.83323,0.9963,1,0.995,0.995,0.24712,0.46838,0.75962,0.00125442,0.00125442,0.00125442
27,149.003,0.30213,0.51123,0.83324,0.99674,1,0.995,0.995,0.20982,0.40522,0.75276,0.00123791,0.00123791,0.00123791
28,154.321,0.28796,0.49407,0.80847,0.99694,1,0.995,0.995,0.18263,0.38537,0.74548,0.00122141,0.00122141,0.00122141
